Id;Categorie;Intitule;Tables_colonnes_concernees;Quantification_mesuree;Impact_si_non_traite;Action_corrective;Etape_ETL
PQ-16;Censure statistique;Les resultats inferieurs a la limite de quantification sont codes a zero;DIS_RESULT.valtraduite, DIS_RESULT.rqana;82 653 622 resultats censures a gauche (66,03 % du total), dont 82 651 485 avec valtraduite exactement egale a 0, soit 99,997 %. 76 478 censures a droite;Toute moyenne de concentration est biaisee vers le bas et scientifiquement fausse;Ajouter un indicateur est_censure. Pour les analyses de concentration, appliquer une substitution documentee (LQ/2) ou restreindre aux quantifications. Privilegier le taux de depassement plutot que la moyenne;Transformation
PQ-17;Couverture temporelle;Le millesime 2021 de Solagro est partiel;IFT.year;19 587 communes en 2021 contre 34 806 en 2020 et 2022;Rupture artificielle dans les series temporelles, conclusions d'evolution fausses;Exclure 2021 des comparaisons ou le declarer explicitement comme partiel dans les visualisations;Chargement
PQ-18;Integration;Le code departement n'a pas le meme format dans les deux sources;DIS_PLV.cddept, IFT.insee_dep;3 caracteres cote SISE-Eaux (001) contre 2 cote Solagro (01);Jointure vide entre les deux sources;Normaliser sur un format unique au niveau de DIM_GEOGRAPHIE. Traiter 2A et 2B separement;Transformation
PQ-19;Hierarchie variable;Deux decoupages regionaux coexistent dans la source;IFT.insee_reg, IFT.insee_reg_ancien;12 codes dans le decoupage post-2016 contre 20 dans l'ancien;Agregats regionaux non comparables entre eux;Retenir le decoupage post-2016 comme niveau du DW. Conserver l'ancien comme attribut non hierarchique;Modelisation
PQ-20;Manquants correles;Les indicateurs agricoles sont absents en bloc sur les memes communes;IFT.sau, sau_bio_0, p_sau, p_bio, ift_t, ift_h, ift_t_hh;21,18 % des lignes, avec un profil de manque identique sur toutes ces colonnes;Une imputation creerait de la pression agricole fictive sur des communes non agricoles;Manquant legitime : ne pas imputer. Ajouter un indicateur commune_agricole et l'utiliser comme filtre des analyses de correlation;Transformation
PQ-21;Documentation;La definition de plusieurs indicateurs Solagro n'est pas etablie;IFT.p_bc, ift_HHhbc, ift_t_hbc, cult_ifthbc, cult_ifth;5 colonnes sur 46 sans definition confirmee;Risque d'interpretation erronee dans le rapport et en soutenance;Confronter au guide methodologique Solagro cite dans le sujet avant de figer le dictionnaire;Modelisation
PQ-22;Nommage;Convention de nommage incoherente dans le fichier source;IFT.IFTbc, IFT.IFTbc_dif;2 colonnes en majuscules alors que les 44 autres sont en minuscules;Erreurs de reference dans les scripts, bases sensibles a la casse;Renommer en ift_bc et ift_bc_dif au chargement;Chargement
PQ-23;Additivite;Les mesures de variation ne sont pas additives;IFT.ift_t_hbc_dif, ift_h_dif, ift_HHhbc_dif, IFTbc_dif, sau_dif, p_sau_dif, p_bio_dif, p_bc_dif;52,94 % de valeurs absentes : ces colonnes ne sont renseignees que sur le millesime 2022;Une somme ou une moyenne de ces colonnes sur plusieurs annees n'a aucun sens;Declarer ces mesures comme semi-additives dans le schema DFM, ou les recalculer dans le DW a partir des valeurs absolues;Modelisation
PQ-24;Donnee de presentation;Des codes couleur cartographiques sont melanges aux donnees;IFT.couleur_t_hbc, couleur_h, couleur_bio;3 colonnes, 7 a 12 modalites hexadecimales;Volume inutile, confusion entre donnee et restitution;Rejet documente. La palette de restitution est definie dans l'outil de reporting;Modelisation
PQ-25;Valeurs hors bornes;Des indicateurs depassent leurs bornes logiques;IFT.p_sau, p_bio, ift_t, population;p_sau maximum 119,19 avec 25 lignes au-dessus de 100. p_bio maximum 100,94 avec 60 lignes au-dessus de 100. ift_t superieur a 20 sur 3 lignes (maximum 22,96) et egal a 0 sur 2 461. Population nulle sur 12 865 lignes et egale a 0 sur 18;Parts superieures a 100 % dans les restitutions, outliers qui deforment les modeles;Regles de plausibilite a l'entree du DW : ecretage documente a 100, mise en quarantaine des outliers d'IFT, exclusion des communes a population nulle des analyses ponderees;Transformation
PQ-26;Perimetre;Des communes hors territoire national sont presentes;DIS_PLV.inseecommuneprinc;99001 VENTIMILLE ITALIE sur 421 prelevements et 99004 MEIX-DEVANT-VIRTON (Belgique) sur 2;Aucune correspondance geographique ni agricole, membres orphelins de la dimension;Exclure explicitement ou creer un membre Hors France dans DIM_GEOGRAPHIE. Tracer la decision;Chargement
PQ-27;Perimetre;Les departements d'outre-mer n'ont aucune donnee de pression agricole;DIS_PLV.cddept, IFT.insee_dep;101 departements cote SISE-Eaux contre 96 departements metropolitains cote Solagro. Les codes 971 a 976 sont absents de Solagro;Correlations calculees sur un perimetre incoherent, lignes perdues silencieusement en jointure interne;Exclure les DOM des besoins de correlation et le declarer, ou les conserver comme groupe temoin sans pression agricole;Modelisation
PQ-28;Grain / duplication;La table de liaison commune-UDI est un instantane annuel;DIS_COM_UDI (toutes colonnes);51 225 groupes dupliques sur commune + reseau + quartier + debutalim apres union des 10 millesimes;Explosion du nombre de liens dans la table pont, double comptage des prelevements;Ajouter l'annee derivee du nom de fichier, puis versionner la table pont ou la dedoublonner sur le millesime le plus recent;Extraction
PQ-29;Coherence inter-fichiers;Des prelevements n'ont aucun resultat d'analyse;DIS_PLV.referenceprel, DIS_RESULT.referenceprel;2 834 678 prelevements dans DIS_PLV contre 2 834 656 references dans DIS_RESULT, soit 22 prelevements sans analyse;Faits orphelins, incoherence entre les deux tables de faits;Controle de coherence automatise en fin d'ETL, avec table de rejet et seuil d'alerte;Chargement
